,msno,city,age,gender,registered_via,registration_init_time
8881,oidOZXGMeVyZo0g4jlABf0Tqwd9NDD0enjxK/wM910A=,22,52.0,male,3.0,2013-11-23
9682,u3gA94IqbkkAlp8n5pag8hTHLB69/H68zD4/oa0PT6Q=,1,,,7.0,2013-06-12
9717,QsDmUcvtQjimc4vNF8qQ0tE09I3sSfE6HNNs1cYNFo4=,13,42.0,female,3.0,2013-06-18
9721,INkql1QSBe7zhWxRdFJ6ScWeFOQauAneAvYUCVqNmlU=,12,28.0,female,7.0,2013-06-19
10306,lNeOiuvoHXjtoDRKM/mwTEpfaaBP4wvdZlsrXmu52OE=,5,,,7.0,2010-12-11
10368,btf8QZqIJrPs18G9+PenU+oy1aTEc3V5M7JyviKa1oM=,1,,,7.0,2013-10-05
10458,5ee7J3hyz3/Mv+mVUNw2M+lxQKjI7IcjmB4tV+w9jLk=,1,,,7.0,2013-10-14
10491,anYLfYwn+vmxWHICponmjHDwJ+tlSRV5cBI4G4VOakY=,1,,,3.0,2013-10-20
11255,tnFxc1zls/VQ23vjAgU+CJV/T9PUJlOvt4e8E67jxRQ=,18,30.0,male,9.0,2007-04-20
11308,YsKPlJ6HQ/F/Hjtvo27SBnMMeGHmQirVw5uuyoJP11g=,11,25.0,female,9.0,2007-05-18
11386,lyaNwcJG82u0CLFeUkzG8j4lLycYwuo5+7p3F7adczU=,13,21.0,male,9.0,2009-06-21
13013,p8FUElfh/OOaJLtJZsBsHnxrCTbQPqhToVmYWLrhBG8=,22,24.0,female,9.0,2014-05-09
13800,83RyuGUIwJB7J0tjBvBV4CEWIz+/sAchQtxJFr+IAJI=,13,24.0,,4.0,2017-01-12
13817,5fEQcRtpSRTdHMBIpJoj3Vkjd/CYHUnEHe1NDRAO5/o=,1,,,7.0,2017-01-13
14673,f3YeYs6DOL0QbdNFSGMVLXwv9agEAlcwdqop6YT+p/U=,1,,,7.0,2017-02-20
14753,MX7+fTVOMxAP5jAbjH/cL80RvHeSaVVaAJaVHV4GDZs=,13,38.0,female,9.0,2010-05-01
14768,VYOILgJNunM1wHQwH2couGVczne4CBKkjIxSxJMcXEo=,22,22.0,female,9.0,2010-05-13
14847,3EOzVmSott1x2fkiLTQ59H/3y4zs8dOwVsawC/3gM4w=,15,29.0,female,9.0,2010-07-12
15404,yXdRxe4QIH79KuJoV4JSdp29132cGSnExxL5YJ6Sc+w=,13,,,9.0,2015-08-24
17112,kpbYDNYWbRh/ijd7nkAFjhS4/iJsI97yh3zyWHFZ2ec=,22,23.0,,4.0,2017-02-13
17401,gYip8gO60mDci3E5YbwYBldpujf40Hz3FMGtQOBZo4I=,10,39.0,male,9.0,2011-06-14
17902,pZ4tXIDXeIFwVXQ+2/yaIS/9bGl//6g1GvuvX0zM2WA=,1,,,7.0,2014-06-16
18408,00cjmDofeSE9U70lPautKbwVCxvAtlcX2UkWX7BeBLU=,9,,,4.0,2017-01-11
18459,8AQZ0LCFNOtB99gKicJzz9OkUj84ipAqTE4xX7gxmNQ=,1,,,4.0,2017-01-14
18809,Lc2wvEXXyjXhfk0PTj6+bLlp6tsnjLDjN5SioijjSGk=,1,,,7.0,2011-07-27
20649,OCWXL2pJoj4yOE8DsKrUqWRK0BFup2d4Te11PiOCsKo=,1,,,9.0,2017-01-19
22146,B6xm5YBdAM8LPSiNnLNXotVMXreGSK5avJt5xrZsa1E=,4,29.0,male,9.0,2008-01-22
22782,e2MSMkEtXMwjmBlZ4o85YcRGBnah6WYKOenoYs+Yrro=,1,,,7.0,2014-06-16
23646,/5pmTb1HXAOPb1YuFRXXyO5mFfNE3Ebwooo3L3o2GCg=,1,,,3.0,2012-08-19
23717,Ei1LIYpQK/ERybJwWwrKlh4t73lzPQi2VZW6jVRStac=,13,20.0,female,3.0,2012-09-12
24239,Rw4rFag+sNzXbkR6NjW8VOl6Xeq16Z252SLtt4SImu4=,1,,,7.0,2012-12-14
24745,aAJqgq/w+7z6Jq6jtvv92sm9PUMuvIWUfxGMlzAExXo=,12,24.0,male,7.0,2016-06-05
24801,neixaXM52hK25zHWbO9xXiEKYK5xc4Hfy1W6ltkTnZI=,1,,,7.0,2016-06-07
25545,NaN7pkrqHQPSN6BZtXg0LEJx17eejQgMhXKziByKZm4=,4,28.0,male,7.0,2011-08-30
25637,io9gG1DStbEBSHrpzuVfpk66PIDEnSXGs0+m94FV904=,13,35.0,female,9.0,2006-09-05
25772,P+q8qIS8ULGBOp3veuAT/pbOmD+wiGwAmxpXKUDSlBo=,5,28.0,male,9.0,2007-02-28
25960,tNKTpLPciqziOc1Hy27EV7fj9I8EvKdqbAi3UAUBCLQ=,8,32.0,female,9.0,2007-08-14
25984,pxX1jZKzM/GWopw467GKw9caw3DudoIPcP3HPbykxMU=,13,39.0,female,9.0,2007-09-15
26656,X1+YbcZPRr3UIOJI1fI9UspchuGsGIhQ1Q6DDgUze5E=,1,,,7.0,2016-04-20
26854,T5XCKQwQ0jXKb3z0d3BucHbzFkFGhLGtfBcLsRh0fnk=,1,,,7.0,2016-12-28
28405,XyPNzFiHxdesFCMgp+jU91TQ/zIgvPnuNOZ5XU7xIpk=,1,,,7.0,2011-12-27
28983,NWqxBBIDzIdLeLkjcOduIP8ar109Bj0otRJnMvlvcSg=,1,25.0,male,3.0,2014-08-29
29521,W8+n3yzHDjf1sRgs/q9o9kTw9XvAwc2drTH/CfJ0ZFk=,1,,,7.0,2017-02-10
29706,doyLx6oJCqlrqUk1QP0ywVE++khkU+DLOur9OuzmnjI=,1,,,7.0,2011-06-02
29766,njfOQ4uSxBvYlpFCPEmofQ42E9oNFuDaKIqhe5vH3uA=,1,,,7.0,2014-02-05
30168,UnEFRMfABtJQRvSEh2rS3HJaMYZi9cO8EJWco0furCU=,22,30.0,female,3.0,2014-03-14
30230,g7UrSMP9d9bT2eV6ryQjGG9estHXiL/vUofkeM9QUl8=,15,45.0,male,7.0,2014-03-20
30278,jTlWy/3CFC1U5Gq3D/+jH1ZXkIT3gcIKwQXy1aDAG/0=,1,,,7.0,2014-12-31
30449,n80SDjn4GgAQ8VqORTOl07MKtJVUFds7ADPugPfcmwg=,13,52.0,male,9.0,2004-09-01
30995,rbVG8oqpST2pYSRkOicTcrBpnpAq34XyfwM/KscajEw=,6,30.0,female,9.0,2015-10-04
31019,2UoWHfMDxGNJf9QG72gOw5bKbSxXd49Xg6XgDQwGcQU=,1,,,7.0,2015-10-05
31495,qzv/rhdQ5xzUw7J3/ebjoiYmH6POxNUgwkaO+7y5/88=,13,,,9.0,2012-02-08
31682,okVK46htioq/9b86hEAsCcvb+qvv48TCDVZNuAqJxEw=,9,26.0,female,3.0,2012-04-09
31783,MjZefIyw35cJVY+Qy7lHRrp85JjDjK/zJ8U41nCQJFo=,18,30.0,female,9.0,2012-05-21
31881,nP24f44GmSDattGGPd4LAOKsDwHo2ce1HkwfDOoNEp4=,1,,,7.0,2012-06-26
32052,OB8i7mqAwZKrtXnI2C+l2VEJqm1LYozyGKmYImMX8Aw=,5,24.0,male,9.0,2006-05-17
32561,hfFVcwIEz6L7vXkUUkmcj0pcug3slZYvQNXVneFUsAM=,1,,,7.0,2016-11-23
33254,F/P0IJkJ9M6B42r++XFq6UKvzmNMfNkSLY9ygKkmBAc=,1,,,7.0,2016-12-24
33450,kmcZprwzTPCVlZW1A6DY1CdC10weoI4bnoR5aFcSyV4=,5,30.0,male,7.0,2011-06-11
34241,8WmGcve+KuXwMgYFs6eCOrrlVPmwMO9SFaj7/yqWEBw=,1,,,7.0,2016-12-26
34775,My+EtNCI+UxszzxTp9ZcjRLfh0TBmRLLdDrq8LtykrI=,1,,,7.0,2017-01-20
35174,NdD7bSdN6ZuyBHPwNrfyPUTDTMkZ22x0qrVdU+upSXk=,1,,,13.0,2017-01-08
36314,X2YVgqDY/07qi4C3WrIblJyKhBVnpP5XK3CUlreafno=,1,,,4.0,2016-11-13
36880,KxcfJamZ8JnJ3+K1zUTY8iPw4V/aF5nF1uc+1bkDhI4=,1,,,7.0,2016-12-08
37159,c64T15CtRxBhoz33MTKj/0qdSEqfE1cNKIxQ280WAPU=,5,37.0,female,3.0,2016-12-20
37283,YT05liv7HQsrCIMTDSNWOZcIzfR4SnhaYH0k+REcWlU=,6,40.0,male,13.0,2016-12-25
39789,/lnCONz+m1jRAMuIEb00RB2xoYo4mcIqPGKxKHwS9DE=,1,,,7.0,2016-12-17
40111,NsVf7EIdtarM34IdmjBTsmuCbRE68HwX+GwmsyGgVyg=,1,,,7.0,2017-03-10
40845,x/QIfRNIs4mp3bHALPZyz4z8yPPDh+W9PiZ9orVJPug=,18,24.0,male,3.0,2012-10-05
41092,NTGqDDl3EUXa3MTePKaEOD/IodIWgeczHi7Rsau4SDs=,6,24.0,female,3.0,2012-12-11
41297,xKBs5SXQwJuC+OpY7N4VBXRO+CCgKFClUhQgsNQCWC8=,4,27.0,female,9.0,2015-03-31
42911,XdncJn27GQplG85OEVT5fh4Rye604n3eW99ZUESQXXc=,1,,,7.0,2017-01-01
45548,kODgW6QlLCWya5MDJZrWiSmdYYt/PHNcj95rfjrGDR0=,1,,,7.0,2016-12-26
48153,HTGlFPLJzsPqPB2sO7QYLr9ebtBpkrkCg986EAGju8o=,1,,,7.0,2015-10-27
48160,aXuPbuuRCgMXK0db97Fa5JTS8+8pRnBnwJhYrMNUuaU=,1,,,7.0,2015-10-27
50813,vFrPIPfVQHqYcPwjQEfOsQT+Q70cm3dKUhOsTH5auBA=,13,27.0,male,3.0,2015-08-27
51378,d4DAcLdWy0ZToRDGsKYNfLqkVAaH7SFAdVoTUQCIV1w=,1,,,7.0,2014-06-13
52195,yF2Ve3HYIspm6sakJ+6pNoC2vIAGRyLydm/DflLchWI=,1,,,7.0,2011-09-21
52245,YmaZiJbyvdUUb7hsywkyLXTmUPJklKxQTRz8bYTqcU0=,22,34.0,male,9.0,2011-10-16
55028,2wRcnUwsNqs1rTZsA+pR/Us32/PXyZm0vd/OnTZyc+8=,13,54.0,female,9.0,2007-06-17
56366,HwAHGkuA9Kp0JS5OyTLGwGN2KjyX7/BqEF1MRJHcjrE=,7,40.0,male,9.0,2006-05-04
56390,ADjaOwNzyAzrEchHoou86F4BZbLdpJ4FkW2JVSiTX+U=,5,21.0,male,9.0,2006-06-04
56539,qTCT7SZ/LegcCRS7fXU+FLNwq8SfRzUkEbzX+/2pFNA=,22,34.0,male,9.0,2007-02-12
57256,nlD5pbhPeBBli9zKzJ78EIyGsjrCT4USdFx3GD3dZxw=,22,22.0,male,3.0,2013-09-23
57552,fkeEMVB/Tz4zc9e/DXSyLSE3DMXZh3DSeHQFxbf9FtQ=,16,,,7.0,2011-06-27
57793,D7auPHyyx1Ww9nOH7QnZ4ycUIOdrfrjciuedA4kjca4=,5,21.0,female,9.0,2011-08-07
58073,gjVHTmNai6Ek97lwrWSp+N8pOkokxfX9qJN/OvX3caA=,13,26.0,female,9.0,2005-10-22
58101,hC3RS+ig6lclR6lnYk5F0eh+lNObKijLhIpkFHKizfY=,13,28.0,female,9.0,2005-11-01
58174,CwdOz4HsFqKKwy9rGKOYGZM29Eeo+tXO5ifvI3OWvj4=,22,17.0,female,7.0,2010-11-08
58988,b/OSU4Upb9+vQRGxjPMOVD6vKgDsXNhyySzNf/e49GM=,15,22.0,female,3.0,2012-12-06
60866,GZoWzzFoA8Bt+XLq4oG2UFuUUK86Xttj7DrpeVNbVt8=,1,,,7.0,2016-12-03
61572,RW1aG/PsbQ+GBTpD5lp7BW9vnYXoRMwf6XOVmT5FC04=,5,21.0,female,9.0,2007-05-20
61730,UkvOgJJ4uABnMKmaMST1s8PyJp1F1PiQ9tD3UWfFwmE=,1,,,7.0,2012-02-20
61882,ameoh54SgYYPONOnQaXe79MZZ4srDIBTjfkT2m9kAYg=,1,,,7.0,2012-04-07
61963,VyVY/7elWuiCXjoLz28B64XR3oGyG0Cxe3Yt/IUQ5fc=,15,34.0,female,7.0,2012-05-05
62007,PBj1hbMMT+zsqDVV8tiKh+GjqD1DghRjiVtKGicAHa8=,15,40.0,female,9.0,2012-05-18
62749,SDuJaWjYToXPD+78Ejx8s5Tnz3A0alf8C1Za0t/5tO4=,1,,,7.0,2015-03-16
63179,t6rA3xI5UNiqpSEFgR5D7MBNNIGKttb6gren8cecJSs=,20,29.0,female,3.0,2013-02-04
65215,d+dQjqtw/6BtreCv03l4wloaYYjZYPmyf63f1A/Pn/E=,1,,,13.0,2017-01-11
65403,Qq9kWighOYJdC/g4xJkstr1BJFau9rNwRlNfLdUR+EM=,1,,,7.0,2017-01-20
65669,0QQ/yRlPsW5ZG72Ubuy3T6zujAmeTDeOyEqwJe+EP68=,13,26.0,male,9.0,2011-11-02
65732,impfMnm6YvCnZ9iz7wC04X4P1ovWKG9RWxFqwiabgIA=,5,32.0,male,7.0,2011-12-01
67737,hYjUk+39RCThuAgGrWOmbIVc3hHTCOebU8Qu9J6+VDU=,1,,,7.0,2016-09-06
67800,GU6tXflGoOeyjkMqf0jvKtTcnDzYb7p3Sp+S25ZH1Ok=,14,,,4.0,2016-09-10
68331,IFoGJG2f+Ao/ysJHJnp47tgnslf66PZ/VtjahPc4S6U=,1,,,4.0,2016-12-16
68545,AeHtaFVSAY73yv+j7fkrLP9zWj4G2Tk0CCMQfhIUqis=,4,53.0,male,9.0,2006-02-10
68549,nI34KXRSbH/hFQOCTYU8HAjv2gkiTSm/KeI8ebWzH8o=,13,31.0,male,9.0,2006-02-15
68565,B3CtZ4GFTOqYc9NPiwPoRYPWTYoND07IrqQBkKy/7a4=,5,41.0,female,9.0,2006-03-06
69698,+wQra395B4dm9/Z4zJR3b/myWGWPgcO6ZUg4/PqqXdw=,13,29.0,female,7.0,2011-02-12
69778,yqZW1y7jv/ecZ0y7R/uaYBjVqd8UCay7NudsmELXfL4=,1,,,7.0,2011-03-29
70705,r5nURfB9o0FmqgF5V4xp3fafJ9bWYbv9F7XobUW60i0=,1,,,7.0,2016-07-11
70790,CDUms7lUrei9jZuStoWHBKaUFtF2ixrUD1SqzasojAE=,4,33.0,male,9.0,2009-03-24
70813,Ck9lAyMdXgp0NxIjlRGaTVsWZgMdoMDnPp+OabH0d0o=,4,21.0,female,9.0,2009-04-19
71702,GSGf8yLtKQQf5kPiAyDCRQvHgSYVHk3pRRazSyuWZC0=,1,,,4.0,2015-11-23
72255,tz1dNu4n9X1VLTMHuxdx6+DQ21SIR2bITM2yRG15Y84=,15,35.0,female,9.0,2006-04-27
72493,90bpkGGHQC4a6xHAqFZdIEV91BjPel08hpktk0YiDaQ=,7,33.0,female,9.0,2007-03-19
72568,139bDzw+qitMdrDAg7NTf9ycsY1TBNsK8rX6cYgatH4=,21,28.0,male,7.0,2011-05-13
72667,nMUum1sypBL6w+ACx2MFkBj503Ah4ViUnIOwi2vPNjA=,1,,,7.0,2014-02-08
72777,yKWe7IHZPZsS1qvPSCtN8K6MwrhZ0IKmNQr5f6YDAx4=,1,,,3.0,2014-02-21
73104,yVlDp7DLFKzAEd/w4NCpIqe8B7AvRecaS/D2Rgg7aJk=,1,,,7.0,2012-01-20
73182,yd62R4SJUh9pAgfob9weTq/7PxbvbGSzMmJYqgseGMU=,5,18.0,male,9.0,2012-02-08
73604,s2xkb0zJsP9AfpscMkks3d+Ay6IeuIJIzrekN+Ism88=,4,33.0,female,9.0,2011-09-22
74073,yoWhi13UEPPBNzAkultm8kLjPJ84DkXqsY00JuJ65e0=,21,,male,9.0,2011-01-09
74107,34qIZcAy1mBwJaLx2xxx7ds0nzl7DOnDnc47U3fwaXo=,9,32.0,male,7.0,2011-01-24
74256,kBFPg+pPrGCTeyvggT9QphUxJptctQkHD9IHuy+aeLI=,21,23.0,female,9.0,2011-03-31
74277,VWK2ZuVXF33hVD6lmDz9FyFpjs/GixuJVb51wqWfq10=,1,,,7.0,2011-04-13
74522,rfbkwP1t85/qPQP3Od+yO3BF+f5BYetYNShIgof/Xdc=,13,50.0,male,9.0,2007-02-21
74524,d2TDG3DA8u06bpSv4ksQoYfHafnznzxneXTSalj4GfE=,14,38.0,male,9.0,2007-02-22
74576,cUjxnrtLpBnVulDGd43wSP+ITbUtTjaX+ne6yYtRzAw=,13,40.0,female,9.0,2007-04-02
74813,8EjfccFwB/dmDDI/flPae3hiSQ7v1C/XSR1ccYQ188Q=,15,32.0,male,9.0,2007-12-28
75026,ZkyCVW8HBA+PKQPfaen/DsLusDhJiqN0xuslj83bIsM=,1,,,9.0,2014-04-30
75294,DFocAdfRYH4Nw6KkIBeJNwi5+5K8/zc2/SY78sFT6Nc=,4,33.0,,7.0,2014-05-27
75598,Usub1KZm3snQZk5u/R3ZBDC8M3YLGcmfABdTZfXIgjA=,13,20.0,female,3.0,2014-01-31
76699,bkxX9YMNu2MjGE/DBd1FhDIQkRuUu7XowaKXqBQDWXU=,13,26.0,male,9.0,2007-02-22
76709,LesztFi5GIqq8GsJej6LMysE6U0ATkGCaoCATYebzb8=,4,40.0,male,9.0,2007-03-05
76929,0fVLHMUA6SyH9j9ftUTKI3u4cAkKbhWXYmWL5an/TXc=,1,,,7.0,2015-11-28
77489,IMjnLwC42wxFjYtbF21j8+Ort18IcTPQDOpUulH7Hqw=,1,,,7.0,2014-01-16
77780,uY1mauTsnaPk8AviRQe0gUNz2GECdR7aHEnBt1Pef8w=,4,20.0,male,7.0,2013-03-23
78035,z5XI2eXcXZaP7L1fHF+JO0KeqdXqgaEsWDKD3FuIOJ8=,3,26.0,female,7.0,2013-05-14
78267,Kj4mYzL5LKTqi0hApCPVURv62W64SWwmkOEmJAFg3H0=,13,41.0,male,9.0,2009-12-10
79394,d6BkiLZhWqdA9EM5+lPKTHOvqVYRuQ08Ldo8mjAQlw8=,1,,,7.0,2017-02-14
79660,GUyiyDIGcVEvJfWqgOVGuaSNO+2B08CjsWBNpNvXhr8=,22,18.0,female,7.0,2017-02-25
79794,WjuYMfqv7DrkKLwT6laruT66CuiGYhdQuBt2q9Pcoj0=,13,26.0,female,9.0,2006-08-02
79994,fumSBU9vpWOGzDT0nqL/tSQYod8GnfznF8+hF7y3fQQ=,11,30.0,male,9.0,2007-04-22
80351,dMUfnai0cYNJRcnVA2cbQUHl+PIQRUb0/FaFYF/+2R0=,17,17.0,male,3.0,2013-02-06
81155,g0Z1aLY5GUBerpO6XoAU8P1pQsGiHLhckOFN987VHlM=,1,,,9.0,2015-12-28
81376,lRi8rt9l3l19cP46pqEClv8wkZq3s+M6ol3Gfz1ERqw=,1,,,7.0,2016-01-04
81457,bggxg9OmarJI9EPqMYZNpJ8kVFI1zJj1qalymeYEXBY=,1,,,7.0,2016-01-07
81581,u5gGf/yQEpCyHMDFeXbU83/10fXbkNMLIBU0MILjUSM=,12,26.0,female,3.0,2015-05-05
81864,qFR5E/TYunzzJdWpQIs1jGWx3Oie619Q04OpJtfJed0=,1,,,7.0,2015-07-17
82086,nVAPKowCUNcD1qBiQnCL2Dw5t7V02htp8blyuQklttw=,13,33.0,male,3.0,2015-08-01
82158,5Q795CtVIKgRGRMnyOLPF6ab3cAMSwZxtZO87yjkdE0=,1,,,7.0,2015-08-06
82377,nSqFSwc+1DqZXmXY2proVCJoWKhDJtE0LXwScVL2QLE=,22,45.0,male,9.0,2008-06-16
82455,X6j2gPJn+n7Vxmt+4pcaHMNM8xKLJsXjLNn9pwryt0w=,13,,,9.0,2016-02-03
82524,eKtTutrP5do27u3tUGh8GqbDMAI/HOhZjK/7rVXh+l4=,1,,,7.0,2016-02-04
84949,gfAgOlRxCClzEeZczUmRt8GdFVTYOLi60Qqj5MW2enw=,13,25.0,male,7.0,2010-04-09
84992,dql0aSPn0M+P5PSo8yLa9FME3OZpW5fasbFIH4Z7f3U=,6,33.0,female,9.0,2010-05-10
85480,1pRv+aUIZjLsy8zCV5S4lYIaoAR7N2Zw1pOY7azLVi8=,1,,,7.0,2010-12-27
85585,rdNZEJyc6ob1Tm2xTE41ZdlvE50p8stcilat1MJZk4M=,1,,,7.0,2011-03-01
85624,8M+XN2mPc0PVLJ4ZvWVmXDwffwI9bEqARgkjdUxUexg=,22,28.0,female,9.0,2007-04-14
85901,MrGdNfesNzvfmbP7THwmc17CcRPC+03iWWKF0py5EyY=,1,,,9.0,2015-09-09
86075,6YcZ5Z42tKGwYZW7NLtchDi2AVwmP1/fvadIMlGRByI=,1,,,7.0,2015-09-20
86706,jK/KmhfY9e5BcId48VN1evmxvq+xf3cthNs/FrJgZWY=,5,45.0,male,7.0,2010-10-29
87874,EGTKfHEbf5w8OI340Jz37jG1Gu0/Gy3TDodGCPvaErQ=,1,,,7.0,2017-02-01
88488,/Rwvcn5xxy1uTLeOzyvfnUz/TcJA2+OJPRtzgJaVqGA=,14,37.0,female,7.0,2016-11-12
89415,gWi7x8D9TIL3tRhwKSK7zKGxe5a+5HpAAJrTGqANNXY=,1,,,7.0,2016-12-23
89482,ZsivHQ/6fzrlRscwm5gTCqkgWkMtZoQffkUb4jP0AI4=,1,,,7.0,2016-12-25
90246,aIBurvWfccdq/YopZr5u0ju+P55TmOKlbJ2kYNC8Uwc=,1,,,7.0,2015-06-12
90483,IkUDHa8C8g3UmuM/7A6gNqE7Gj8ZuAf4qoN0cLqP0yA=,1,,,7.0,2015-06-30
90780,rII4mWX1dVa1LYz0nSvBVEuCBVTG92T89w6JyKi1gCc=,10,38.0,male,9.0,2007-07-09
90903,Vt8RTQNQzKj0rCW08TBvUVMGNaJ8nFP0laotQtpGMhs=,5,28.0,male,9.0,2007-11-06
90927,auV+SOftKYDFjzWobYQ6bXDp7yaEX9I1XeTgoQ3pX5c=,5,24.0,female,9.0,2007-11-30
91393,E2S23cae3J/Kuh8bawr5BtWs+oRjtpI8hFuxYjaNFoI=,13,36.0,female,9.0,2007-06-21
91869,u9BdB/04MohhPoREp7lpTxVu1Q3OxW2bP17rH5VkcJY=,1,,,7.0,2014-04-18
92489,v9h0Znmpqyl5CQnEQnCmQwSBabKDg5Ha33feuO+G/iE=,1,,,3.0,2013-09-12
92641,BFbmWELMQm4DAtp5YAjH0iP7zB+XeTvKet6dJIPMvA8=,1,,,7.0,2015-11-10
93387,r0RzPqV+0Xv7ax5ifIbdL3HGpjBEY3IH4cZ1cSpozGo=,1,,,7.0,2016-10-25
95414,x0KpTAtlYx7GBdvqFsEdKeevyeZ+OyMWbwHMwexVDVQ=,1,,,7.0,2015-11-22
95539,N6fMXmgS4aswSwZURk20la3R9UMz5lLeduTfcyKGu1s=,14,36.0,male,7.0,2015-11-27
95617,Klh54VTHrtQiH7U2E+JVVpl/PFtGpCDDqAS44j1CH3E=,14,30.0,male,3.0,2012-09-27
96725,jX2rXxW20jh2YDY2xnLOGvZBM/HOTtvGsUzch07kkqg=,1,,,7.0,2013-03-09
96949,apD9iiEPjRukAJFsYyq140mMgIR16rpGpY9RUlfHaiw=,13,36.0,female,9.0,2004-09-11
97451,HKT2mU/QRuCsxGjP22CMTvqOnMWpTv+Dj7zqbHVlSDs=,17,30.0,female,9.0,2012-09-14
98091,E01C071jgFCUPQWUjht0fSbEQCXm/XsnkGStdmNbWAA=,1,,,7.0,2010-11-19
98489,TOMM2KoD3BQvZZ7TzKd3kcHmN4T5XWIkNMJoiCi6WMU=,22,28.0,female,9.0,2014-06-03
98861,aE8ueaTAZxXshgaATnEr8yedARzK+hhz+xsn8eWxyIQ=,5,19.0,female,3.0,2013-07-16
98949,DuM5b31eFIQEg6Hl592fjhPuLLS0tbY5tLfUEyaWWrY=,15,,,7.0,2013-07-31
98961,FVtc98as+bIEJ1fBBiNdAtLo6OMpLvK9VrDfXRc0IIw=,15,23.0,male,7.0,2013-08-03
100492,9M6d6Hp3fXHANkFFBKu3QcqjpzNiRuKF3lo5H1S9km4=,1,,,4.0,2016-11-11
100552,tWlAQYN6QlYf0aU3zj03rUAMCrXdelwoHA8kUMqDEzU=,1,,,4.0,2016-11-13
100601,rWYWNPNCo1PU1UkaILhrvlorzSy0AXM1cZ7latreVfc=,1,,,9.0,2016-11-15
100741,82KN5ZeN5Al8/jo548CoCf4/7x0/TzdP9JqRDyMtFnk=,8,20.0,male,3.0,2016-11-20
100946,N3Hrm+z2/9LWbmRIsze7zxsDoqgsdDXuFxJuvP0NoKw=,1,,,13.0,2016-11-29
101655,cv1WZ55RupQELBlztrT9fXnRFuaVp/bvRuE75TlqExk=,13,32.0,male,9.0,2010-08-02
101979,7CXfcmSM32rJNcpD/oaVqPQrXQGAFQ+/6mYeaUy07Mk=,18,33.0,male,3.0,2012-02-21
102091,WpqctHEQpakOOk99gbblLiptmakrK4Pl5+AgT/mZP6A=,14,40.0,male,7.0,2012-04-03
103538,a0JMMnVWl7di4dL13y9ryRXc7Ml4CNWBKBu26gX6+kU=,1,,,7.0,2016-09-18
103953,WcF86fLoaKd7hJaYB0VbdUegW6HIyigvo8hqGFoHn9M=,13,30.0,male,9.0,2016-01-06
104230,ll3SIQRdZxTqrwz3ZpZjx9M6vafAZq0qL2TOWhsG8/Y=,12,,,7.0,2016-01-15
104275,0ucTbHC9McoGgrp1yjvbPBDLSRXCZC5pN3jDGHvvYtI=,1,,,7.0,2016-01-16
104780,NiNv64hs+Uy0w33Aa1VYjy0kbKrMiEQsy6ZKPQpaQJE=,15,27.0,male,7.0,2010-07-30
