,msno,is_churn,city,age,gender,registered_via,registration_init_time,gender_male,gender_nan,gender_female,total_days_since_joined,cost_per_month,on_auto_renew,payment_method_latest,churn_returned_in_past,churn_returned_num_times,churned_full_in_past,churned_full_num_times,churned_any_in_past,churned_any_num_times,total_mins_last_month,total_mins_last_6_months,num_unique_last_month,num_unique_last_6_months,num_songs_started_last_month,num_songs_started_last_6_months,num_songs_listened_last_month,num_songs_listened_last_6_months,num_songs_finished_last_month,num_songs_finished_last_6_months,songs_affinity_nps_last_month,songs_affinity_nps_last_6_months,songs_percent_loved_last_month,songs_percent_loved_last_6_months,songs_percent_disliked_last_month,songs_percent_disliked_last_6_months,active_days_L30_last_month,active_days_L30_last_6_months_avg,is_MAU_last_month,is_WAU_last_month,is_WAU_last_6_months,is_DAU_last_month,is_DAU_last_6_months,avg_min_per_song,last_6_months_avg_monthly_mins,last_month_vs_6_month_avg
10,mwfS3WcK35PPuf6dofgucCLDT5/KobhT8YYaz01TN58=,1,13.0,56.0,female,9.0,2013-09-26,0,0,1,1224.0,180.0,0.0,29.0,False,0.0,False,0.0,False,0.0,6.843333333333334,6.843333333333334,7.0,7.0,17.0,17.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.16666666666666666,True,False,False,False,False,0.4025490196078432,1.1405555555555555,6.0
11,eKtTutrP5do27u3tUGh8GqbDMAI/HOhZjK/7rVXh+l4=,1,1.0,,,7.0,2016-02-04,0,1,0,363.0,99.0,1.0,41.0,True,1.0,False,0.0,True,1.0,124.0288,2954.09255,35.0,794.0,47.0,924.0,31.0,719.0,29.0,666.0,0.2978723404255319,0.525974025974026,0.6382978723404256,0.7478354978354979,0.2978723404255319,0.16666666666666666,6.0,12.166666666666666,True,True,False,False,False,2.6389106382978724,492.3487583333333,0.25191248662808485
12,+rEd67IKcM0O6gi7mbtR+ifK9zjM/yjvIjoGED+T9qs=,0,1.0,,,4.0,2016-01-09,0,1,0,389.0,180.0,0.0,36.0,False,0.0,False,0.0,False,0.0,1467.8698166666666,14443.26425,240.0,2703.0,523.0,4285.0,362.0,3460.0,325.0,3197.0,0.3575525812619503,0.5883313885647607,0.6653919694072657,0.7808634772462077,0.248565965583174,0.15752625437572929,16.0,24.333333333333332,True,True,False,False,False,2.806634448693435,2407.2107083333335,0.6097803618042922
13,rH5OR6sX/BwDBK5WwYxUwOIrIvug4u1o+mORVz11iWk=,0,1.0,,,7.0,2017-01-19,0,1,0,13.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1058.3381,1058.3381,210.0,210.0,330.0,330.0,264.0,264.0,239.0,239.0,0.5636363636363636,0.5636363636363636,0.7636363636363637,0.7636363636363637,0.15757575757575756,0.15757575757575756,7.0,1.1666666666666667,True,True,,False,,3.2070851515151513,176.38968333333332,6.0
14,WoZAEqC03KS2nhu+zWwb96cEqxJxFgck/9BgYxKd0k8=,1,21.0,23.0,male,9.0,2011-09-20,1,0,0,1961.0,180.0,0.0,29.0,False,0.0,False,0.0,False,0.0,6174.720466666667,6174.720466666667,652.0,652.0,1603.0,1603.0,1549.0,1549.0,1529.0,1529.0,0.9270118527760449,0.9270118527760449,0.9606986899563319,0.9606986899563319,0.017467248908296942,0.017467248908296942,20.0,3.3333333333333335,True,True,False,False,False,3.8519778332293617,1029.1200777777779,6.0
15,zgzbFMraJn4fUP3Q1DX2cVrj20LeNKOVoHoBhGxuMr8=,1,13.0,23.0,male,9.0,2015-10-14,1,0,0,476.0,137.53846153846155,0.0,38.0,False,0.0,False,0.0,False,0.0,982.38175,8849.210716666666,314.0,3035.0,318.0,3206.0,241.0,2097.0,224.0,1814.0,0.4937106918238994,0.2607610729881472,0.7358490566037735,0.6066749844042421,0.20754716981132076,0.2894572676232065,22.0,22.833333333333332,True,True,False,True,False,3.089250786163522,1474.8684527777777,0.6660809295566498
16,eiK1mHhIyRE5l/rCEzqN7TmGEF+q39DUEx+NvsYFBcY=,0,1.0,,,7.0,2010-09-27,0,1,0,2319.0,129.0,1.0,41.0,False,0.0,False,0.0,False,0.0,56.97191666666666,681.14595,48.0,299.0,62.0,385.0,14.0,183.0,12.0,122.0,-0.5483870967741935,-0.1012987012987013,0.22580645161290322,0.42337662337662335,0.7096774193548387,0.44675324675324674,3.0,6.333333333333333,True,False,False,False,False,0.91890188172043,113.52432499999999,0.5018476583469372
17,Skk+YFaD7i7r09DcQo+xiOl4sbqC1yw1ufUK5DZYg4M=,0,1.0,,,7.0,2017-01-01,0,1,0,31.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,8.783333333333333,25.185916666666667,2.0,9.0,2.0,9.0,2.0,6.0,2.0,4.0,1.0,0.1111111111111111,1.0,0.4444444444444444,0.0,0.2222222222222222,1.0,0.3333333333333333,True,False,,False,,4.391666666666667,4.197652777777778,2.092439226948923
18,LNdCY+fJATEm/85YB4+mn8Ft51jNvOpzaoxtAQMymMo=,0,1.0,,,7.0,2014-05-23,0,1,0,985.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,409.80243333333334,4466.16685,107.0,1008.0,114.0,1062.0,91.0,888.0,75.0,784.0,0.543859649122807,0.632768361581921,0.7456140350877193,0.7966101694915254,0.18421052631578946,0.12146892655367232,10.0,15.166666666666666,True,True,False,False,False,3.594758187134503,744.3611416666666,0.5505424858903335
19,8y+1Iknde5C5VYPVVUsR+5OwL4gU0xyw7DiYK8kZMB4=,0,1.0,,,7.0,2016-11-19,0,1,0,74.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,2285.9266000000002,5040.300166666666,925.0,2000.0,1082.0,2423.0,533.0,1156.0,429.0,906.0,-0.06561922365988909,-0.094098225340487,0.4417744916820702,0.42880726372265787,0.44731977818853974,0.4572843582335947,25.0,9.666666666666666,True,True,,True,,2.1126863216266174,840.0500277777777,2.72117912554216
20,XkORogCcAwIoTSBptOED51tv9wXQ2WCEqGgvwqKsyU0=,0,1.0,,,4.0,2015-11-16,0,1,0,443.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,6223.0597,40483.36973333334,1979.0,12257.0,2433.0,15952.0,1425.0,9680.0,1246.0,8334.0,0.13686806411837238,0.16769057171514543,0.5511713933415536,0.560870110330993,0.3177147554459515,0.29331745235707124,29.0,29.833333333333332,True,True,True,True,False,2.557772174270448,6747.22828888889,0.9223134943051988
21,N5O4kPZg8JvJfuqcNfKBz2KskFYVhTsPbx8iSNPEAOk=,0,6.0,19.0,male,4.0,2016-07-24,1,0,0,192.0,149.0,1.0,30.0,False,0.0,False,0.0,False,0.0,5656.4500333333335,24150.509466666666,1693.0,6146.0,2027.0,7257.0,1378.0,5822.0,1260.0,5492.0,0.3339911198815984,0.5828854898718479,0.65416872224963,0.7806256028661982,0.2920572274296991,0.17183409122226814,30.0,25.666666666666668,True,True,False,True,False,2.7905525571452063,4025.084911111111,1.4052995547296143
22,5J6ky1Pb08bj3f7Dnt4uNVFRGaYcaBO6aVGtWxgrp74=,1,1.0,,,7.0,2016-02-02,0,1,0,365.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,640.3172333333333,6403.639916666667,165.0,1496.0,171.0,1627.0,156.0,1494.0,147.0,1416.0,0.7953216374269005,0.8143822987092809,0.8830409356725146,0.8961278426551936,0.06432748538011696,0.05162876459741856,15.0,22.0,True,True,False,False,False,3.74454522417154,1067.2733194444445,0.5999561889794475
23,gPBSUIxWxqIu/BEbRdUMLauD5eIgeWw2nPy3U0ixf8k=,0,4.0,20.0,female,7.0,2013-05-20,0,0,1,1353.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,2114.266583333333,7648.346866666666,486.0,1913.0,646.0,2316.0,531.0,1911.0,491.0,1748.0,0.6176470588235294,0.6170120898100173,0.7956656346749226,0.7918825561312608,0.14551083591331268,0.13644214162348878,25.0,19.0,True,True,False,True,False,3.2728584881320946,1274.7244777777776,1.6586067186998135
24,Kaqkt4JlJhnBzfd7ZTtisid7tA0hsWkm2jIB7jyx7SI=,1,13.0,36.0,male,9.0,2008-03-10,1,0,0,3250.0,130.82926829268294,0.0,32.0,False,0.0,False,0.0,False,0.0,1743.6533000000002,5223.7077500000005,273.0,772.0,456.0,1388.0,409.0,1217.0,393.0,1148.0,0.7763157894736842,0.729106628242075,0.8793859649122807,0.8523054755043228,0.06359649122807018,0.08069164265129683,12.0,10.0,True,True,False,False,False,3.8238010964912283,870.6179583333334,2.002776629301285
25,GU6tXflGoOeyjkMqf0jvKtTcnDzYb7p3Sp+S25ZH1Ok=,0,14.0,,,4.0,2016-09-10,0,1,0,144.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,2802.201516666667,11160.9448,495.0,2349.0,746.0,3077.0,684.0,2641.0,650.0,2494.0,0.8002680965147453,0.6909327266818329,0.8833780160857909,0.8326291842703932,0.06300268096514745,0.11147221319467013,30.0,20.833333333333332,True,True,,True,,3.756302301161752,1860.1574666666666,1.5064324213842544
26,TbEwbSWgXN+LfBcBhxDE/pyd7Kf8tCDS9xMJ9mO5eR0=,1,10.0,29.0,male,3.0,2014-08-23,1,0,0,893.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,1970.7058,7155.82085,602.0,2203.0,695.0,2521.0,445.0,1625.0,423.0,1514.0,0.26187050359712233,0.2685442284807616,0.6215827338129496,0.6239587465291551,0.3237410071942446,0.32130107100357,16.0,12.333333333333334,True,True,False,False,False,2.835547913669065,1192.6368083333334,1.6523939108956311
27,3vJjLaPVvYij5Wrdtyg9oLLsdPtKKrTHdjfWKv+hp1I=,1,4.0,21.0,male,9.0,2015-07-14,1,0,0,568.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,3068.481016666666,25132.597666666672,684.0,5813.0,792.0,6642.0,732.0,6030.0,669.0,5615.0,0.8106060606060606,0.7856067449563384,0.8863636363636364,0.8777476663655526,0.04419191919191919,0.06202950918398073,25.0,26.5,True,True,True,True,False,3.8743447180134676,4188.766277777779,0.7325500668169422
28,hU68d7sI86zgBKin9gS/41GPpu/ZLfcXf9HtI9wt5pk=,1,5.0,23.0,female,4.0,2016-12-04,0,0,1,59.0,180.0,0.0,29.0,False,0.0,False,0.0,False,0.0,1382.661683333333,1495.4403166666666,466.0,653.0,653.0,863.0,369.0,391.0,290.0,295.0,0.06584992343032159,-0.15758980301274622,0.5007656967840735,0.38933951332560834,0.3430321592649311,0.45307068366164543,19.0,3.5,True,True,,False,,2.117399208779989,249.24005277777778,5.547509992569745
29,a+Pjn/H+VjgaO6nzy5zBWo0UgDT2xdQtFYPiNiKUtlA=,0,1.0,,,7.0,2015-08-20,0,1,0,531.0,129.0,1.0,41.0,False,0.0,False,0.0,False,0.0,0.0,6121.907033333334,0.0,1784.0,0.0,2040.0,0.0,1428.0,0.0,1298.0,,0.36764705882352944,,0.6676470588235294,,0.26715686274509803,0.0,9.0,False,False,False,False,False,,1020.317838888889,0.0
30,vn/GwVn/pnDnyfwvKwSEtXKDr0sIBZ/OZYO5KMO111M=,1,12.0,32.0,male,9.0,2010-07-02,1,0,0,2406.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,831.4859833333334,3939.7608333333333,96.0,655.0,237.0,1134.0,181.0,887.0,167.0,783.0,0.5021097046413502,0.517636684303351,0.7383966244725738,0.7354497354497355,0.18565400843881857,0.15167548500881833,10.0,8.166666666666666,True,True,False,False,False,3.508379676511955,656.6268055555555,1.266299176790131
31,jX2rXxW20jh2YDY2xnLOGvZBM/HOTtvGsUzch07kkqg=,0,1.0,,,7.0,2013-03-09,0,1,0,1425.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,993.5361499999999,12868.935766666667,308.0,3140.0,391.0,4665.0,266.0,3443.0,235.0,3165.0,0.309462915601023,0.4422293676312969,0.629156010230179,0.7041800643086816,0.26854219948849106,0.22465166130760986,14.0,20.0,True,True,False,False,False,2.5410131713554986,2144.822627777778,0.4632253208879046
32,/ylHlI6GAB1uL75UwJOW7V88QkzBVsLrv8H9Yz6UPqg=,1,22.0,30.0,male,9.0,2007-05-06,1,0,0,3559.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,173.23244999999997,2620.698316666667,68.0,805.0,69.0,913.0,38.0,666.0,34.0,618.0,0.07246376811594203,0.4348302300109529,0.5217391304347826,0.7053669222343921,0.36231884057971014,0.2212486308871851,7.0,9.333333333333334,True,True,False,False,False,2.510615217391304,436.7830527777778,0.39660982471344985
33,JNeM3hjswUo9f7HZatlH8YndJph5VzQP1z6P+d6yo60=,1,6.0,35.0,male,3.0,2013-08-17,1,0,0,1264.0,130.82926829268294,0.0,32.0,False,0.0,False,0.0,False,0.0,988.2487,7830.688816666666,54.0,806.0,265.0,2142.0,241.0,1861.0,231.0,1732.0,0.7962264150943397,0.704014939309057,0.8867924528301887,0.8352007469654529,0.04150943396226415,0.07703081232492998,8.0,10.0,True,True,False,False,False,3.7292403773584906,1305.1148027777776,0.757212084252384
34,j9z6VGS5p76LG09H8yR9h/z+mZRWLkBXVMDmGA6okVE=,1,,,,,,0,1,0,,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
35,CVy0rOX1PQfVP/ux3oDQM9J5zD2z4K/JCrK0Jiv7dhA=,0,1.0,,,7.0,2015-08-14,0,1,0,537.0,99.0,1.0,41.0,True,1.0,False,0.0,True,1.0,650.57655,3194.986666666667,360.0,1849.0,510.0,2334.0,152.0,709.0,128.0,529.0,-0.4235294117647059,-0.43273350471293914,0.2784313725490196,0.2634961439588689,0.6686274509803921,0.6165381319622965,16.0,18.166666666666668,True,True,False,False,False,1.275640294117647,532.4977777777779,1.2217450985710945
36,QQT8Eh0qaxM8pUJRseWfPWJgCJ95vUGuDYwrsKpb9Hk=,0,17.0,,male,9.0,2016-08-27,1,0,0,158.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,3774.9354166666667,19351.578099999995,902.0,5017.0,1126.0,6299.0,913.0,4757.0,843.0,4029.0,0.6012433392539964,0.4729322114621368,0.7904085257548845,0.7177329734878553,0.1492007104795737,0.17574218129861882,27.0,22.666666666666668,True,True,,True,,3.3525181320307875,3225.263016666666,1.1704271549822598
37,kUY2POTLe2J0jbvlhJCKGcMawSDvKgnN0zAW0W6NG48=,0,,,,,,0,1,0,,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
38,Jst5khVKaLmAIu5NINX7dIgsArPA73DFUQePkeKfbmg=,1,1.0,16.0,,4.0,2016-09-26,0,1,0,128.0,100.0,0.0,38.0,False,0.0,False,0.0,False,0.0,349.4219333333333,1314.0462333333335,128.0,474.0,152.0,604.0,91.0,291.0,72.0,231.0,0.1118421052631579,-0.09602649006622517,0.5131578947368421,0.42218543046357615,0.28289473684210525,0.3890728476821192,9.0,6.333333333333333,True,True,,False,,2.29882850877193,219.0077055555556,1.595477804979312
39,VmEPDpCqG5BjU8Ti6BVSbrisrslwnQW/vxMhyPeisyc=,1,5.0,36.0,,7.0,2010-10-06,0,1,0,2310.0,89.33333333333333,0.0,32.0,False,0.0,False,0.0,False,0.0,144.7753833333333,2022.6032666666665,34.0,519.0,50.0,647.0,47.0,542.0,46.0,523.0,0.86,0.6599690880989181,0.92,0.8222565687789799,0.06,0.13601236476043277,1.0,4.333333333333333,True,False,False,False,False,2.895507666666666,337.10054444444444,0.42947241029209576
40,8ec0AQLsQ7tH0ST9aLNmQ1B0bq1J4K1lzDxl4VMnrZo=,1,14.0,33.0,male,9.0,2015-11-20,1,0,0,439.0,130.82926829268294,0.0,32.0,False,0.0,False,0.0,False,0.0,317.82863333333336,6555.836816666668,92.0,1648.0,103.0,1918.0,69.0,1519.0,58.0,1266.0,0.3106796116504854,0.5500521376433786,0.6407766990291263,0.7580813347236705,0.1941747572815534,0.16475495307612095,6.0,11.5,True,True,False,False,False,3.0857148867313917,1092.6394694444446,0.2908815233399304
41,blzxzJLEEUtbeHubPBfXC/0C7kYFRahCjsvrHDMJD5k=,0,13.0,31.0,female,9.0,2012-02-25,0,0,1,1803.0,149.0,1.0,27.0,False,0.0,False,0.0,False,0.0,3783.405766666666,19788.619000000002,934.0,5195.0,1022.0,5635.0,955.0,4956.0,922.0,4745.0,0.8532289628180039,0.7377107364685005,0.9187866927592955,0.8582076308784383,0.04598825831702544,0.09174800354924578,20.0,21.5,True,True,False,False,False,3.701962589693411,3298.103166666667,1.147145973147494
42,HsGhOaCfLjxr729Dv21FSs9RL2JbmfNSll/GWyZc3OE=,1,13.0,20.0,male,9.0,2011-06-26,1,0,0,2047.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,3340.0865333333336,7474.283283333332,628.0,1544.0,1013.0,2198.0,886.0,1979.0,799.0,1814.0,0.7127344521224087,0.7725204731574158,0.8381046396841066,0.8721565059144677,0.09180651530108588,0.06824385805277525,21.0,8.833333333333334,True,True,False,False,False,3.2972226390259958,1245.7138805555553,2.6812629974418716
43,4ybGi8EPHI0VLguWRkDNGxZ+BzZWMZ9737Uyur44FwM=,0,22.0,27.0,female,9.0,2004-11-05,0,0,1,4471.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,5380.7329500000005,18101.76946666667,1619.0,6738.0,1881.0,7417.0,1315.0,4357.0,1176.0,3942.0,0.35566188197767146,0.14210597276526898,0.6565656565656566,0.5546717001483079,0.24933545986177566,0.3678036942159903,30.0,22.833333333333332,True,True,False,True,False,2.8605704146730466,3016.961577777778,1.7834940257884624
44,BiG+CRkniXLJOqZRCKGKtXRYP3/qIXVBI6fXKwXhBcc=,1,13.0,35.0,male,7.0,2013-03-14,1,0,0,1420.0,0.0,0.0,35.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
45,0u0Sg6/iL5lHWZPs9pIkxFuZHP+0YBEE5Qr03iEoTZo=,1,6.0,24.0,male,3.0,2016-01-04,1,0,0,394.0,180.0,0.0,36.0,False,0.0,False,0.0,False,0.0,7865.053783333333,48884.085150000006,1765.0,11154.0,2143.0,14573.0,1979.0,12112.0,1903.0,11357.0,0.8292113859076061,0.6355589103135937,0.9057396173588428,0.8044328552803129,0.05832944470368642,0.12468263226514788,23.0,28.666666666666668,True,True,True,True,False,3.6701137579716905,8147.347525000001,0.9653514544702488
46,i7fDJczMFT+6bJo9YB+PnJOCbUZxTl++waNiZljDWeQ=,0,1.0,,,7.0,2014-12-23,0,1,0,771.0,129.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1673.0488166666667,22732.690816666665,426.0,5438.0,482.0,6772.0,394.0,5598.0,351.0,5037.0,0.5892116182572614,0.6156231541642055,0.7717842323651453,0.788984051978736,0.12033195020746888,0.12448316597755464,26.0,29.666666666666668,True,True,True,True,False,3.4710556362378977,3788.7818027777776,0.44157961681510843
47,O+B+5zimOx2lYyk0jvPhXvCEGuGrNtKxbWLBPvFpokw=,0,,,,,,0,1,0,,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
48,MQUdUmEFKje+DLF+thfrQQR37YuJUF3PhMfIS3czF0k=,0,14.0,29.0,male,7.0,2015-05-29,1,0,0,614.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,767.3973166666668,5799.4765,162.0,1248.0,212.0,1579.0,190.0,1356.0,177.0,1286.0,0.7547169811320755,0.6928435718809373,0.8584905660377359,0.8340721975934136,0.06132075471698113,0.08613046231792273,7.0,10.0,True,True,False,False,False,3.619798663522013,966.5794166666666,0.7939309522161183
49,wdrz1KyX62FxacDQCsr3lBZ8hsGdSyxWHkLv0NCPQTA=,1,15.0,36.0,male,9.0,2012-12-22,1,0,0,1502.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,3193.1632833333333,23253.65463333333,492.0,2133.0,803.0,6003.0,750.0,5669.0,736.0,5458.0,0.8617683686176837,0.8743961352657005,0.9277708592777086,0.9300349825087456,0.053549190535491904,0.038314176245210725,26.0,26.666666666666668,True,True,True,True,False,3.976542071398921,3875.6091055555553,0.823912628019178
50,RKzLCjx035c9twwsgVOKd6x+wPSo0CtUTzmaoWvM1NU=,0,4.0,31.0,male,9.0,2012-11-16,1,0,0,1538.0,149.0,1.0,37.0,True,1.0,False,0.0,True,1.0,1090.8134333333333,6711.846866666668,265.0,1693.0,275.0,1806.0,255.0,1557.0,223.0,1393.0,0.8181818181818182,0.6893687707641196,0.8909090909090909,0.8272425249169435,0.05090909090909091,0.09579180509413067,11.0,11.833333333333334,True,True,False,False,False,3.966594303030303,1118.6411444444445,0.9751236477852497
51,yKWe7IHZPZsS1qvPSCtN8K6MwrhZ0IKmNQr5f6YDAx4=,1,1.0,,,3.0,2014-02-21,0,1,0,1076.0,149.0,0.0,38.0,False,0.0,False,0.0,False,0.0,912.9215499999999,1560.3715666666665,261.0,480.0,287.0,532.0,208.0,350.0,186.0,299.0,0.41114982578397213,0.2593984962406015,0.686411149825784,0.6015037593984962,0.2264808362369338,0.26127819548872183,13.0,3.3333333333333335,True,True,False,False,False,3.1809113240418116,260.0619277777777,3.5104006103503513
52,SGxP+q7TZEgbEANRWxm5+SHN7/mrjte68akumrE6FiI=,0,22.0,27.0,female,7.0,2013-01-29,0,0,1,1464.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,2555.4811666666665,10462.917716666667,800.0,3829.0,853.0,4060.0,650.0,2611.0,624.0,2442.0,0.5076201641266119,0.2603448275862069,0.7456037514654161,0.6172413793103448,0.21101992966002345,0.3066502463054187,25.0,23.333333333333332,True,True,False,True,False,2.99587475576397,1743.8196194444445,1.4654504044866783
