,msno,is_churn,city,age,gender,registered_via,registration_init_time,gender_nan,gender_female,gender_male,total_days_since_joined,cost_per_month,on_auto_renew,payment_method_latest,churn_returned_in_past,churn_returned_num_times,churned_full_in_past,churned_full_num_times,churned_any_in_past,churned_any_num_times,total_mins_last_month,total_mins_last_6_months,num_unique_last_month,num_unique_last_6_months,num_songs_started_last_month,num_songs_started_last_6_months,num_songs_listened_last_month,num_songs_listened_last_6_months,num_songs_finished_last_month,num_songs_finished_last_6_months,songs_affinity_nps_last_month,songs_affinity_nps_last_6_months,songs_percent_loved_last_month,songs_percent_loved_last_6_months,songs_percent_disliked_last_month,songs_percent_disliked_last_6_months,active_days_L30_last_month,active_days_L30_last_6_months_avg,is_MAU_last_month,is_WAU_last_month,is_WAU_last_6_months,is_DAU_last_month,is_DAU_last_6_months,avg_min_per_song,last_6_months_avg_monthly_mins,last_month_vs_6_month_avg
10,fia1OQGyLmgg3tCl5gt5MzzfG5zXr48U5w34Vh8S5ds=,0,1.0,,,7.0,2016-06-02,1,0,0,244.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,848.4152333333334,6767.333433333332,200.0,1278.0,292.0,2259.0,192.0,1575.0,183.0,1506.0,0.3047945205479452,0.3784860557768924,0.6472602739726028,0.6812749003984063,0.2945205479452055,0.27224435590969454,19.0,19.833333333333332,True,True,False,False,False,2.9055316210045663,1127.8889055555553,0.7522152484649507
11,4gX8N/nOkcJxOJ0gyXt8yKSUXIG0Q9sZMDP9cpddQdE=,0,1.0,,,7.0,2016-12-08,1,0,0,55.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,216.44965,324.64979999999997,54.0,103.0,55.0,114.0,49.0,74.0,49.0,69.0,0.7818181818181819,0.2631578947368421,0.8909090909090909,0.6140350877192983,0.09090909090909091,0.3157894736842105,2.0,1.0,True,False,,False,,3.9354481818181815,54.10829999999999,4.000304019900829
12,4I2fqXW1M0oV4Y4y/7XXYmJZ23GiThv2ZZnl9j+P484=,0,6.0,28.0,female,9.0,2006-11-05,0,1,0,3741.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,4552.741716666667,20162.591716666666,1107.0,5223.0,1580.0,7223.0,1113.0,4967.0,947.0,4203.0,0.35443037974683544,0.32119617887304447,0.65,0.6335317735013153,0.23417721518987342,0.24685033919424063,30.0,26.0,True,True,True,True,False,2.8814820991561185,3360.4319527777775,1.3548084831485163
13,P5+M4vlbxuD7bYj3EK+2x2MKsQI+8FSeLhF4qg0Ymso=,0,17.0,42.0,female,7.0,2012-02-17,0,1,0,1811.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,443.0489,4657.321866666667,104.0,957.0,107.0,1191.0,100.0,1037.0,96.0,999.0,0.8411214953271028,0.7287993282955499,0.9065420560747663,0.8581024349286314,0.06542056074766354,0.10999160369437448,9.0,8.166666666666666,True,True,False,False,False,4.140643925233645,776.2203111111112,0.5707772569952505
14,E0QNedyK1AesJ0LgC7/BgnwPzzzyjbSqGHtbdbtBikc=,1,1.0,,,7.0,2016-02-15,1,0,0,352.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,149.4949,4954.368099999999,39.0,984.0,40.0,1266.0,35.0,1128.0,34.0,1095.0,0.725,0.768562401263823,0.85,0.8775671406003159,0.1,0.09794628751974724,7.0,10.833333333333334,True,True,False,False,False,3.7373725,825.7280166666665,0.18104617620156246
15,VaCp4tD0cpsCkLfnONqFhSNegLTyAQ0BUInodzddux8=,0,8.0,23.0,female,9.0,2007-02-11,0,1,0,3643.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,4586.97935,34786.34093333333,1230.0,9699.0,1251.0,10287.0,1114.0,8367.0,1099.0,8157.0,0.7753796962430056,0.6169923204043939,0.8848920863309353,0.8036356566540294,0.08872901678657075,0.1589384660250802,23.0,26.166666666666668,True,True,True,True,False,3.666650159872102,5797.723488888889,0.7911690439861037
16,5qKQrKjBWGoNPwybl2BAoQEIncVn19V5VNY4/ULQVuo=,0,1.0,,,7.0,2012-03-30,1,0,0,1769.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1128.459933333333,5729.1376500000015,263.0,1422.0,353.0,1673.0,280.0,1383.0,268.0,1328.0,0.5637393767705382,0.634190077704722,0.7705382436260623,0.8075313807531381,0.18980169971671387,0.15361625821876868,23.0,15.833333333333334,True,True,False,True,False,3.1967703493862127,954.8562750000002,1.1818112975519095
17,zEb/XPQlKNXhj3DGGb2MYF1FaZG4iaYTGjRDuVT+JSQ=,0,1.0,,,7.0,2016-10-24,1,0,0,100.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,39.042500000000004,365.7483833333333,11.0,102.0,12.0,142.0,9.0,85.0,9.0,68.0,0.5,0.14788732394366197,0.75,0.5492957746478874,0.25,0.34507042253521125,1.0,1.6666666666666667,True,False,,False,,3.253541666666667,60.95806388888889,0.640481299917343
18,kiNSbL1iRTvHOKaKUTZxfhODzV7n2xfa6QM0fJwJuPk=,0,13.0,45.0,male,9.0,2011-12-11,0,0,1,1879.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,652.3901666666667,5942.186366666666,123.0,1077.0,165.0,1698.0,148.0,1585.0,131.0,1492.0,0.7454545454545455,0.8486454652532391,0.8484848484848485,0.9151943462897526,0.07878787878787878,0.050647820965842166,9.0,11.833333333333334,True,True,False,False,False,3.953879797979798,990.3643944444443,0.658737501394759
19,vn/RJ4cqfFE/CmlZTcilArVcX/ACX5gOSZKrrKkSiN4=,0,1.0,,,7.0,2016-07-16,1,0,0,200.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,333.23495,4800.893383333332,80.0,782.0,86.0,1257.0,78.0,1139.0,73.0,1074.0,0.7906976744186046,0.7947494033412887,0.8837209302325582,0.888623707239459,0.03488372093023256,0.060461416070007955,5.0,8.5,True,True,False,False,False,3.8748250000000004,800.148897222222,0.41646617417939413
20,KgxyibuIumiRMFN59v8TSwrR57ZKefCTaJnRWo8Kibs=,0,13.0,26.0,,9.0,2015-04-02,1,0,0,671.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,1093.0563666666667,6563.251283333334,277.0,1693.0,309.0,2079.0,254.0,1573.0,230.0,1402.0,0.5954692556634305,0.4728234728234728,0.7734627831715211,0.7162097162097162,0.13592233009708737,0.15728715728715728,24.0,25.333333333333332,True,True,False,True,False,3.537399244875944,1093.875213888889,0.9992514253803126
21,epXyBF1LBT/PsRDu5hS8aV3GidoQnrNOW/cN/KO3P+E=,0,15.0,29.0,female,3.0,2013-08-27,0,1,0,1254.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,2179.2933000000003,2621.1844499999997,560.0,677.0,602.0,721.0,501.0,606.0,474.0,575.0,0.6378737541528239,0.6532593619972261,0.8056478405315615,0.812760055478502,0.09634551495016612,0.08876560332871013,9.0,2.3333333333333335,True,True,False,False,False,3.6200885382059806,436.86407499999996,4.988492816673014
22,56w/0gZw7wAb73BARZIROTkyYrSwAQInvwtiMk5NXbc=,1,1.0,,,7.0,2010-11-19,1,0,0,2266.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,271.74853333333334,3985.9901833333333,97.0,1611.0,104.0,1729.0,66.0,970.0,64.0,851.0,0.25,0.08906882591093117,0.6153846153846154,0.5280508964719491,0.2980769230769231,0.35106998264893,13.0,19.0,True,True,False,False,False,2.612966666666667,664.3316972222223,0.40905549813383674
23,cePn3UBJ7cEiBb9aZz1Ap4zcKLSJG6ZUswHNO7oUJRc=,0,1.0,,,7.0,2016-06-23,1,0,0,223.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,4055.1612666666674,14184.009749999997,720.0,3058.0,1150.0,4124.0,1048.0,3639.0,1027.0,3556.0,0.811304347826087,0.7546071774975752,0.9,0.8722114451988361,0.06956521739130435,0.10111542192046556,23.0,20.333333333333332,True,True,False,True,False,3.5262271884057976,2364.0016249999994,1.7153800673325124
24,IA8zDfuhmVRYF85WeNULYXbBZs/QvfvPd6qcnrv3b1E=,0,1.0,,,4.0,2016-04-05,1,0,0,302.0,180.0,0.0,29.0,False,0.0,False,0.0,False,0.0,4698.011566666666,16478.46716666666,1618.0,5531.0,1918.0,6758.0,1128.0,3979.0,1077.0,3769.0,0.16006256517205422,0.16010654039656702,0.5719499478623566,0.5713228765907074,0.3899895724713243,0.38487718259840187,29.0,27.5,True,True,True,True,False,2.4494325165102535,2746.4111944444435,1.7106002102562072
25,gq8afIvhWwlWyo+Z6LxS8bG371I5vHDL9mwnho3N1RA=,0,22.0,38.0,male,9.0,2008-10-17,0,0,1,3029.0,149.0,1.0,33.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
26,eZgnvw5jmGYk9rf3CLLhq4I668ZcEupFzc0l1j5p+mE=,0,5.0,22.0,male,9.0,2012-01-24,0,0,1,1835.0,149.0,1.0,31.0,False,0.0,False,0.0,False,0.0,699.1795333333333,12195.272616666665,196.0,2967.0,201.0,3484.0,168.0,2844.0,158.0,2746.0,0.6467661691542289,0.6179678530424799,0.8109452736318408,0.8016647531572905,0.13432835820895522,0.13662456946039037,11.0,11.333333333333334,True,True,False,False,False,3.4785051409618575,2032.5454361111108,0.3439920805269084
27,0GGV1YQvPfB33HYSelLvsarOswkHipPl3ATJ1q0H4zs=,0,13.0,27.0,male,3.0,2012-07-06,0,0,1,1671.0,149.0,1.0,37.0,False,0.0,False,0.0,False,0.0,979.8085333333333,11117.071166666668,312.0,2867.0,347.0,3476.0,243.0,2641.0,218.0,2408.0,0.37175792507204614,0.4896432681242808,0.6714697406340058,0.729861910241657,0.2334293948126801,0.18699654775604144,21.0,19.833333333333332,True,True,False,False,False,2.8236557156580213,1852.8451944444448,0.5288129500895071
28,M68PsM2B0qTRbAYF9Bf2qdfSWEqX2JOiEepDiXyYOT0=,0,1.0,,,7.0,2016-03-11,1,0,0,327.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,2331.1644833333335,4691.740133333334,1160.0,1842.0,1394.0,2235.0,539.0,1159.0,459.0,923.0,-0.2611190817790531,-0.025950782997762864,0.3522238163558106,0.45548098434004475,0.5358680057388809,0.3901565995525727,24.0,12.166666666666666,True,True,False,True,False,1.6722844213295076,781.956688888889,2.9811938646445637
29,g4ftISJmFn788KBX24LF54WXH8hJvfuUC8HEF86QpN8=,0,1.0,,,7.0,2014-02-07,1,0,0,1090.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1249.6007,4755.671433333333,321.0,1296.0,334.0,1358.0,293.0,1101.0,266.0,980.0,0.7155688622754491,0.5898379970544919,0.8383233532934131,0.7790868924889544,0.07784431137724551,0.15169366715758467,25.0,18.333333333333332,True,True,False,True,False,3.741319461077844,792.6119055555555,1.5765605982465443
30,DoCJOhilGCFrqzCIDC4fyC2fA/+1IFLO8GDaKmayKVg=,0,1.0,,,7.0,2015-11-11,1,0,0,448.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1339.3823833333333,9570.805116666666,395.0,2602.0,421.0,2794.0,385.0,2504.0,374.0,2395.0,0.8218527315914489,0.7738010021474588,0.9073634204275535,0.8775948460987831,0.057007125890736345,0.07659269863994274,20.0,17.666666666666668,True,True,False,False,False,3.1814308392715756,1595.1341861111111,0.8396675307916929
31,h56k2SEPIjGgrkB4wQ1IfPmGlLThedItJRl2OKDdQkA=,0,15.0,23.0,male,4.0,2016-06-26,0,0,1,220.0,180.0,1.0,29.0,False,0.0,False,0.0,False,0.0,5273.271083333332,30133.9917,1220.0,7339.0,1636.0,9253.0,1274.0,7266.0,1115.0,6253.0,0.5055012224938875,0.5189668215713823,0.7267726161369193,0.7337079865989409,0.15770171149144255,0.15151842645628444,30.0,30.166666666666668,True,True,True,True,False,3.2232708333333324,5022.33195,1.049964664986617
32,9lAPfR21rcUcI1zNGl0QJTVL73aVzlB24w8y+T76+M4=,0,13.0,22.0,male,7.0,2013-07-28,0,0,1,1284.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,3637.5969499999997,24876.60243333333,627.0,4269.0,1169.0,7921.0,976.0,6453.0,881.0,5809.0,0.6372968349016254,0.5874258300719606,0.8023952095808383,0.7727559651559146,0.12318220701454234,0.13912384799899002,28.0,29.333333333333332,True,True,True,True,False,3.1117168092386653,4146.100405555555,0.8773538009657973
33,ySeKNqkdRqb4R9fEDWKHBrsFufaqK8/8jbgZ6h6xjrg=,0,,,,,,1,0,0,,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
34,ybfz5hlWT26Di6a+GfLV1/obQAZt4WzXsIjG+vX9En0=,0,15.0,28.0,female,9.0,2015-08-28,0,1,0,523.0,149.0,1.0,40.0,False,0.0,False,0.0,False,0.0,178.82555,2415.77835,61.0,703.0,61.0,740.0,43.0,564.0,38.0,534.0,0.3442622950819672,0.4972972972972973,0.639344262295082,0.7351351351351352,0.19672131147540983,0.1783783783783784,4.0,5.833333333333333,True,False,False,False,False,2.931566393442623,402.629725,0.44414393398301627
35,0gsBDpsgX3fLMlMLmXRpUq1UdSD4H92/6Htc2DTQ1vU=,0,1.0,,,4.0,2016-07-20,1,0,0,196.0,180.0,1.0,36.0,False,0.0,False,0.0,False,0.0,830.6244166666668,7094.379216666665,231.0,1720.0,296.0,2469.0,197.0,1686.0,185.0,1610.0,0.3108108108108108,0.3487241798298906,0.6452702702702703,0.6658566221142163,0.30743243243243246,0.2802754151478331,24.0,25.166666666666668,True,True,False,True,False,2.8061635698198204,1182.396536111111,0.7024922615204721
36,t5EReYWQR2ZY+xBYhWRUDvOGZYGRR15+Di5ZLWmB1o8=,0,1.0,,male,7.0,2011-03-14,0,0,1,2151.0,129.0,1.0,41.0,False,0.0,False,0.0,False,0.0,4488.1091333333325,33557.55593333333,1002.0,6602.0,1361.0,9349.0,1109.0,8365.0,1072.0,8114.0,0.6149889786921381,0.7754840089849182,0.8001469507714916,0.8807359075836988,0.14842027920646583,0.0838592362819553,29.0,29.333333333333332,True,True,True,True,False,3.297655498408033,5592.925988888888,0.8024617422525481
37,oeVElaNSTX5FWmyb8qhJEQ7kQCJyDDxl4FXWi6b3sgM=,0,17.0,32.0,female,7.0,2014-02-07,0,1,0,1090.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,794.1971333333335,7016.865183333333,232.0,1451.0,282.0,2282.0,214.0,1777.0,202.0,1650.0,0.4929078014184397,0.5293602103418055,0.7340425531914894,0.7506573181419807,0.1773049645390071,0.17177914110429449,15.0,18.333333333333332,True,True,False,False,False,2.8163018912529556,1169.4775305555556,0.6791042261034749
38,e+kLSC46eH3WPAjhG1Ezd+vTNXsRi/0wwQ+wQMf7HXs=,0,13.0,,female,9.0,2011-09-14,0,1,0,1967.0,180.0,0.0,36.0,False,0.0,False,0.0,False,0.0,751.2633333333332,11851.032466666667,154.0,1905.0,215.0,3167.0,186.0,2760.0,173.0,2652.0,0.7209302325581395,0.731607199242185,0.8558139534883721,0.8601199873697506,0.08372093023255814,0.09820018945374172,14.0,20.166666666666668,True,True,False,False,False,3.494248062015503,1975.172077777778,0.3803533584671584
39,XOFWOZSf4Ajfr7RSeHplVcHmGROjXANrfM7WlFmkg3U=,0,5.0,,,9.0,2013-12-16,1,0,0,1143.0,180.0,0.0,36.0,False,0.0,False,0.0,False,0.0,1479.8302666666666,8517.23335,105.0,1142.0,407.0,2518.0,331.0,1911.0,306.0,1627.0,0.601965601965602,0.47021445591739475,0.7886977886977887,0.7112787926926132,0.14742014742014742,0.19420174741858617,19.0,22.166666666666668,True,True,False,False,False,3.635946601146601,1419.5388916666668,1.0424725066385552
40,vR4JHD85pxPbrqhmkFHVJ5lfeZIJd+zLScxF70aZJ3M=,0,1.0,,,7.0,2013-12-13,1,0,0,1146.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,154.24573333333333,625.9713666666667,30.0,127.0,52.0,208.0,33.0,147.0,25.0,128.0,0.23076923076923078,0.3701923076923077,0.5961538461538461,0.6634615384615384,0.21153846153846154,0.22596153846153846,4.0,1.8333333333333333,True,False,False,False,False,2.966264102564103,104.32856111111111,1.4784612352609738
41,1V0UB4SQ1ouJmCfsrP8gpXEt+tTCv/Fe9kFxfI49aKM=,0,14.0,26.0,male,9.0,2009-07-24,0,0,1,2749.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,3999.6812333333337,23310.957516666665,1229.0,5652.0,1407.0,7411.0,936.0,5669.0,856.0,5225.0,0.29850746268656714,0.49723384158683037,0.6332622601279317,0.7322898394278775,0.2771855010660981,0.18526514640399405,29.0,29.166666666666668,True,True,True,True,False,2.842701658374793,3885.159586111111,1.0294766906439625
42,DlbNgUCFC619rAfS+VJLxznhe0fvaV1cJwDG7eNlQGg=,0,1.0,,,7.0,2016-01-28,1,0,0,370.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,896.1701333333333,2904.4227833333334,236.0,668.0,259.0,837.0,230.0,732.0,224.0,712.0,0.7644787644787645,0.7371565113500598,0.8764478764478765,0.8626045400238949,0.08494208494208494,0.0955794504181601,8.0,7.166666666666667,True,True,False,False,False,3.4601163449163446,484.0704638888889,1.8513216570450282
43,ei7brHIAw36a5cKIVp+BJ/0RQqnZLD1VMjnS/3Hqkos=,0,1.0,,,7.0,2016-08-18,1,0,0,167.0,129.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1458.3848,15839.396066666666,417.0,3996.0,545.0,6115.0,382.0,4208.0,359.0,3859.0,0.3834862385321101,0.34783319705641863,0.6825688073394496,0.6596892886345053,0.24220183486238533,0.2670482420278005,12.0,12.333333333333334,True,True,,False,,2.6759354128440367,2639.8993444444445,0.5524395477687847
44,qBRd76SI3cz0ByPC2Ak9n8GpcS/6Ro74F0HHCslDKYU=,0,5.0,29.0,male,7.0,2011-03-02,0,0,1,2163.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,838.7011166666665,5265.467466666668,200.0,1398.0,295.0,1872.0,220.0,1369.0,196.0,1194.0,0.4576271186440678,0.4236111111111111,0.711864406779661,0.6923076923076923,0.2135593220338983,0.22168803418803418,20.0,20.666666666666668,True,True,False,False,False,2.8430546327683612,877.5779111111113,0.9556998940467605
45,d8FMpma+b2CZJZwAF/gFIxH5VthjraydYvpi6KWJ4mk=,0,1.0,,,7.0,2012-10-16,1,0,0,1569.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,2001.2510333333335,13096.497700000002,126.0,675.0,546.0,3464.0,469.0,3074.0,432.0,2845.0,0.6868131868131868,0.7378752886836027,0.8278388278388278,0.8504618937644342,0.10989010989010989,0.08314087759815242,27.0,26.666666666666668,True,True,True,True,False,3.665294932844933,2182.749616666667,0.916848647253227
46,FDoD8j3xdlUJzZcHpP6E/XmzMS4WEf9p6erig+mlpGA=,0,4.0,44.0,female,9.0,2016-12-25,0,1,0,38.0,149.0,1.0,34.0,False,0.0,False,0.0,False,0.0,482.22501666666665,725.5568833333333,156.0,216.0,172.0,260.0,108.0,160.0,99.0,144.0,0.2441860465116279,0.20384615384615384,0.6162790697674418,0.5884615384615385,0.3023255813953488,0.3192307692307692,21.0,4.333333333333333,True,True,,False,,2.803633817829457,120.92614722222221,3.9877646625133667
47,tE9TDs2Y9T9NVQ8osHkIP03WqdYLhTNwkS9IgU9XDc0=,0,1.0,,,7.0,2016-01-19,1,0,0,379.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1260.23995,5950.663549999999,332.0,1476.0,358.0,1763.0,305.0,1439.0,295.0,1351.0,0.6871508379888268,0.6057855927396484,0.835195530726257,0.789563244469654,0.12290502793296089,0.1520136131593874,14.0,14.5,True,True,False,False,False,3.520223324022346,991.7772583333332,1.270688493218542
48,WkIqjmGbqN4USu9rzAZrZgPsRNIJVem4Q6Mo71w78sA=,0,1.0,,,7.0,2015-11-22,1,0,0,437.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,1096.2581166666666,2189.0029,298.0,530.0,360.0,794.0,250.0,485.0,204.0,409.0,0.3472222222222222,0.18765743073047858,0.6527777777777778,0.5768261964735516,0.2361111111111111,0.3035264483627204,15.0,5.833333333333333,True,True,False,False,False,3.045161435185185,364.8338166666667,3.004814977632053
49,go82CbiW4rlmPY4CefRaD+/4L96Dl+prXZggxsU4jwo=,0,1.0,,,7.0,2013-12-31,1,0,0,1128.0,149.0,1.0,41.0,False,0.0,False,0.0,False,0.0,230.27874999999997,2176.69205,82.0,780.0,103.0,1022.0,59.0,564.0,43.0,471.0,0.0970873786407767,0.06164383561643835,0.5242718446601942,0.5097847358121331,0.3300970873786408,0.3747553816046967,11.0,14.5,True,True,False,False,False,2.2357160194174757,362.78200833333335,0.6347579116669259
50,B0SxOepI5Nlrk4Su65NHERNMrDFJj6SOyIiL6LTEZGA=,0,1.0,,,7.0,2011-08-27,1,0,0,1985.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,244.28631666666666,244.28631666666666,42.0,42.0,100.0,100.0,76.0,76.0,72.0,72.0,0.51,0.51,0.75,0.75,0.23,0.23,4.0,0.6666666666666666,True,False,False,False,False,2.4428631666666667,40.71438611111111,6.0
51,n58xZE97V4L7PhSLBDJSCV8HlDH0G+92PzS/0HW4Cc0=,0,5.0,23.0,male,3.0,2014-03-12,0,0,1,1057.0,149.0,1.0,39.0,False,0.0,False,0.0,False,0.0,,,,,,,,,,,,,,,,,,,False,False,,False,,,,
52,kD3v5qvncEF06q2v6DSdIKguWzXMQ9eCLonTaUCP7rw=,1,1.0,,,7.0,2016-01-08,1,0,0,390.0,99.0,1.0,41.0,False,0.0,False,0.0,False,0.0,0.5139333333333334,2058.8569833333336,3.0,665.0,3.0,772.0,0.0,488.0,0.0,412.0,-1.0,0.20725388601036268,0.0,0.5751295336787565,1.0,0.2823834196891192,1.0,6.166666666666667,True,False,False,False,False,0.1713111111111111,343.1428305555556,0.0014977242348361594
53,ptwujygL/J+n3uq4r8cpEAXdptEcBWOP5gjs0G++nys=,0,5.0,54.0,male,9.0,2007-02-11,0,0,1,3643.0,149.0,1.0,34.0,False,0.0,False,0.0,False,0.0,1009.4793833333332,5522.179566666667,318.0,1866.0,437.0,2406.0,239.0,1286.0,143.0,852.0,-0.02517162471395881,-0.026184538653366583,0.4279176201372998,0.4393183707398171,0.2425629290617849,0.24189526184538654,21.0,19.166666666666668,True,True,False,False,False,2.3100214721586574,920.3632611111111,1.096827118147498
